"myid","tbs","Name","Rem","Imax","Ipeak","Capacity","Weight","Ri","Volt","ts"
"216","4","Hyperion LiteStorm VX 3700","www.elektromodellflug.de","75.0","95.0","3700.0","92.0","5.4","3.7","2008-12-22 07:07:09"
"217","4","PolyQuest 2250XQ2","www.elektromodellflug.de","56.0","68.0","2250.0","58.0","8.8","3.7","2008-12-22 07:10:01"
"218","4","RockAmp ACF3 1700 30C","www.elektromodellflug.de","51.0","60.0","1700.0","44.0","8.5","3.7","2008-12-22 07:13:28"
"219","4","RockAmp ACF3 2200-30C","www.elektromodellflug.de","66.0","77.0","2200.0","58.0","6.8","3.7","2008-12-22 07:13:13"
"220","4","RockAmp ACF3 2500 30C","www.elektromodellflug.de","75.0","88.0","2500.0","65.0","5.9","3.7","2008-12-22 07:14:32"
"221","4","RockAmp ACF3 4400 30C","www.elektromodellflug.de","110.0","132.0","4400.0","120.0","3.8","3.7","2008-12-22 07:15:41"
"222","4","Zippy H2200-20/30C","www.elektromodellflug.de","44.0","44.0","2200.0","54.0","10.0","3.7","2010-04-03 01:06:37"
"223","4","Zippy H3300-20/30C","www.elektromodellflug.de","50.0","83.0","3300.0","86.0","6.5","3.7","2009-01-02 09:13:33"
"224","4","Zippy H4400-15/20C","www.elektromodellflug.de","66.0","88.0","4400.0","137.0","5.7","3.7","2009-01-02 09:15:22"
"225","4","Dualsky XPower 1000 (25C) ","www.dualsky.de","25.0","25.0","1000.0","30.0","30.0","3.7","2008-03-13 18:11:54"
"226","4","LemonRC 1000 LiPo C25","","25.0","40.0","1000.0","26.0","12.0","3.7","2007-10-17 22:44:19"
"227","4","Himodel 1300 15C","","15.0","20.0","1300.0","32.5","40.0","3.7","2009-02-20 18:42:01"
"228","4","FlightPower EON 28 1500","http://www.electricwingman.com/flightpower/eon-28-1500mah-3s-lithium-polymer-battery-pack.aspxhttp://www.electricwingman.com/flightpower/eon-28-1500mah-3s-lithium-polymer-battery-pack.aspx","42.0","84.0","1500.0","120.0","5.0","3.7","2009-03-20 21:38:55"
"229","4","Elite EL3S-2200","http://rclipos.com","77.0","132.0","2200.0","168.0","5.0","3.7","2009-03-20 21:50:40"
"230","4","Thunder Power 2250 30C","http://rclipos.com","68.0","135.0","2250.0","180.0","10.0","3.7","2009-03-21 10:22:39"
"231","4","Poly RC 3000 XQ 3S","http://rclipos.com","90.0","180.0","3000.0","270.0","10.0","3.7","2009-03-20 22:09:22"
"232","4","A123 APR18650","","22.0","33.0","1100.0","45.0","9.0","2.9","2011-03-13 12:54:26"
"233","4","GP 3300 red SCHRU-2","GeGi Diagramm eingestellt M.Well","60.0","80.0","3300.0","64.0","3.5","1.2","2009-04-25 22:30:44"
"234","4","Kokam 450H5","www.elektromodellflug.de","12.0","13.5","450.0","14.5","50.0","3.7","2009-05-04 09:16:56"
"235","4","Kokam 800H5","www.elektromodellflug.de","20.0","32.0","800.0","25.0","30.0","3.7","2009-05-04 09:17:18"
"236","4","Kokam 4500H5","www.elektromodellflug.de","112.5","135.0","4500.0","130.0","4.9","3.7","2009-08-19 21:41:51"
"237","4","Zippy H2100-30/40C","www.elektromodellflug.de","52.5","63.0","2100.0","63.0","8.2","3.7","2009-05-04 09:23:09"
"238","4","LemonRC 2200/25C","www.elektromodellflug.de","44.0","55.0","2200.0","55.0","7.9","3.7","2009-05-04 09:27:15"
"239","4","LemonRC 2600/35C","www.elektromodellflug.de","78.0","91.0","2600.0","74.0","5.7","3.7","2009-05-04 09:30:08"
"240","4","LemonRC 3700/35C","www.elektromodellflug.de","111.0","130.0","3700.0","105.0","4.0","3.7","2009-05-04 10:02:38"
"241","4","LemonRC 4400/35C","www.elektromodellflug.de","132.0","155.0","4400.0","125.0","3.6","3.7","2009-05-04 10:03:51"
"242","4","Select-Energy Ultra 360/25C","www.elektromodellflug.de","9.0","12.0","360.0","10.0","50.0","3.7","2009-05-04 10:08:07"
"243","4","Select-Energy Ultra 2200/25C","www.elektromodellflug.de","44.0","55.0","2200.0","56.0","9.8","3.7","2009-05-04 10:10:12"
"244","4","Select-Energy Ultra 3300/25C","www.lektromodellflug.de","66.0","83.0","3300.0","102.0","5.5","3.7","2009-05-04 10:11:30"
"245","4","Select-Energy Ultra 4500/25C","www.elektromodellflug.de","90.0","113.0","4500.0","115.0","3.7","3.7","2009-05-04 10:13:05"
"246","4","LiTop35-1700","www.elektromodellflug.de","51.0","60.0","1700.0","49.0","7.8","3.7","2009-05-04 10:16:18"
"247","4","LiTop35-2200","www.elektromodellflug.de","66.0","77.0","2200.0","62.0","6.5","3.7","2009-05-04 10:17:46"
"248","4","LiTop35-2600","www.elektromodellflug.de","78.0","91.0","2600.0","73.0","5.9","3.7","2009-05-04 10:19:36"
"249","4","LiTop35-3700","www.elektromodellflug.de","129.5","222.0","3700.0","110.0","4.1","3.7","2009-06-17 21:04:27"
"250","4","LiTop35-4400","www.elektromodellflug.de","132.0","154.0","4400.0","125.0","3.4","3.7","2009-05-04 10:22:13"
"251","4","LiTop40-3300","www.elektromodellflug.de","115.0","132.0","3300.0","105.0","4.2","3.7","2009-05-04 10:23:22"
"252","4","Dymond ZC-3200 (30c)","Staufenbiel","80.0","96.0","3200.0","94.0","6.0","3.7","2009-08-16 13:26:04"
"253","4","Dymond XC-1350 22C","Staufenbiel Datenblatt","31.0","33.0","1350.0","78.0","17.0","3.7","2011-03-13 12:54:51"
"254","4","Dymond XS-1700 (22c)","Staufenbiel Datenblatt","38.0","42.0","1700.0","149.0","15.0","3.7","2009-05-17 09:13:58"
"255","4","Sanyo KR 1400 AE","","25.0","34.0","1400.0","34.0","10.0","1.2","2009-05-23 01:02:15"
"256","4","Li-BATT eco 4/1-4600","","36.0","0.0","4600.0","420.0","6.0","3.7","2011-03-13 12:55:27"
"257","4","BlackLine 1700-35C","www.elektromodellflug.de","51.0","60.0","1700.0","33.0","8.9","3.7","2009-06-29 08:21:02"
"258","4","BlackLine 2200-35C","www.elektromodellflug.de","66.0","77.0","2200.0","58.0","7.1","3.7","2009-06-29 08:22:31"
"259","4","BlackLine 2600-35C","www.elektromodellflug.de","78.0","91.0","2600.0","70.0","5.8","3.7","2009-06-29 08:23:45"
"260","4","BlackLine 3200-35C","www.elektromodellflug.de","96.0","112.0","3200.0","96.0","4.8","3.7","2009-06-29 08:24:38"
"261","4","SLS-X-Treme 1700-35C","www.elektromodellflug.de","51.0","60.0","1700.0","48.0","8.2","3.7","2009-06-29 08:25:59"
"262","4","SLS-X-Treme 2200-35C","www.elektromodellflug.de","66.0","77.0","2200.0","62.0","6.5","3.7","2009-06-29 08:26:57"
"263","4","SLS-X-Treme 2600-35C","www.elektromodellflug.de","78.0","91.0","2600.0","69.0","5.5","3.7","2009-06-29 08:28:02"
"264","4","SLS-X-Treme 3200-35C","www.elektromodellflug.de","96.0","112.0","3200.0","89.0","4.8","3.7","2009-06-29 08:28:58"
"265","4","SLS-X-Treme 3700-35C","www.elektromodellflug.de","111.0","130.0","3700.0","108.0","3.9","3.7","2009-06-29 08:30:06"
"266","4","SLS-X-Treme 4400-35C","www.elektromodellflug.de","132.0","154.0","4400.0","130.0","3.5","3.7","2009-06-29 08:31:07"
"267","4","SLS-X-Treme 5000-35C","www.elektromodellflug.de","150.0","175.0","5000.0","142.0","3.0","3.7","2009-06-29 08:32:00"
"268","4","Dymond LiFePo4 3000-15C","www.elektromodellflug.de","45.0","54.0","3000.0","120.0","11.0","3.1","2009-06-29 08:40:28"
"269","4","Rhino 1250 ","http://www.hobbycity.com/hobbycity/store/uh_viewItem.asp?idProduct=7343","25.0","37.5","1250.0","143.0","8.0","3.7","2009-08-11 20:22:05"
"270","4","Turnigy 1000mAh15C","http://www.hobbycity.com/hobbycity/store/uh_viewItem.asp?idProduct=9163","15.0","20.0","1000.0","135.0","8.0","3.7","2009-08-11 20:21:55"
"271","4","Dymond XC-2250 22C ","aa_web@azha.de (gemessen)","38.0","48.0","2250.0","64.0","14.8","3.7","2009-08-16 13:30:08"
"272","4","Dymond ZC-2500 (30c)","aa_web@azha.de (gemessen)","60.0","75.0","2500.0","68.0","6.5","3.7","2009-08-16 13:28:14"
"273","4","VTEC-LRP 1300-35C","www.elektromodellflug.de","39.0","46.0","1300.0","36.0","11.0","3.7","2009-08-19 06:08:56"
"274","4","VTEC-LRP 2200-35C","www.elektromodellflug.de","66.0","77.0","2200.0","62.0","6.6","3.7","2009-08-19 06:10:05"
"275","4","VTEC-LRP 3200-35C","www.elektromodellflug.de","96.0","112.0","3200.0","94.0","4.7","3.7","2009-08-19 06:14:09"
"276","4","VTEC-LRP 3700-35C","www.elektromodellflug.de","111.0","130.0","3700.0","106.0","4.4","3.7","2009-08-19 06:12:06"
"277","4","VTEC-LRP 4500-35C","www.elektromodellflug.de","135.0","158.0","4500.0","125.0","3.7","3.7","2009-08-19 06:13:04"
"278","4","BlackLine 3800-35C","www.elektromodellflug.de","114.0","133.0","3800.0","102.0","3.8","3.7","2009-08-19 06:15:49"
"279","4","BlackLine 4400-35C","www.elektromodellflug.de","132.0","154.0","4400.0","122.0","3.3","3.7","2009-08-19 06:16:55"
"280","4","Konion 1300 3P","König","57.0","75.0","3900.0","150.0","8.0","3.6","2008-04-19 10:23:25"
"281","4","Hyperion VX-G3 1100/35C","Hyperion datasheet","38.5","71.5","1100.0","98.0","22.0","3.7","2009-09-13 16:57:54"
"283","4","Winforce 4000mAh","Diverse Foren","50.0","60.0","4000.0","87.0","2.5","3.7","2010-04-09 21:37:43"
"284","4","HighRateLiPo 2500/30C","www.elektromodellflug.de","63.0","75.0","2500.0","67.0","6.4","3.7","2009-10-08 08:28:56"
"285","4","HighRateLiPo 4500/30C","www.elektromodellflug.de","90.0","113.0","4500.0","118.0","4.0","3.7","2009-10-08 08:30:54"
"286","4","Hyperion VX-G3 1800/35C","www.elektromodellflug.de","36.0","45.0","1800.0","40.0","9.1","3.7","2009-10-13 08:12:36"
"287","4","Hyperion CX-G3 2500/25C","www.elektromodellflug.de","50.0","63.0","2500.0","60.0","6.4","3.7","2009-10-08 08:35:52"
"288","4","Hyperion CX-G3 450/25C","www.elektromodellflug.de","9.0","12.0","450.0","13.0","46.0","3.7","2009-10-08 08:41:56"
"289","4","Hyperion CX-G3 240/25C","www.elektromodellflug.de","4.8","6.0","240.0","6.0","88.0","3.7","2009-10-08 08:41:46"
"290","4","Hyperion CX-G3 120/25C","www.elektromodellflug.de","2.4","3.0","120.0","4.0","155.0","3.7","2009-10-08 08:41:35"
"291","4","LemonRC 5000/35C","www.elektromodellflug.de","150.0","175.0","5000.0","135.0","3.0","3.7","2009-10-08 08:45:49"
"292","4","LemonRed Power 3200/25C","www.elektromodellflug.de","64.0","80.0","3200.0","80.0","5.5","3.7","2009-10-08 08:47:18"
"293","4","Hyperion VX-G3 2600/35C","www.elektromodellflug.de","54.0","65.0","2600.0","65.0","6.0","3.7","2009-10-13 08:16:26"
"294","4","Turnigy 1800mAh 30C","","54.0","72.0","1800.0","52.25","5.0","3.7","2009-10-22 21:09:21"
"295","4","Rhino 1750mAh 25C","","43.75","64.75","1750.0","46.5","15.0","3.7","2009-10-22 07:46:15"
"296","4","Thunder Power Pro 30C 3S","thunderpower.com","116.0","231.0","3850.0","105.0","4.5","3.7","2011-03-13 12:42:19"
"297","4","Li-BATT BX 3/1-2100","mpx website","37.0","0.0","2100.0","50.0","10.0","3.7","2011-03-13 12:55:41"
"298","4","Winforce 4000mAh (2 parallel)","","100.0","120.0","8000.0","174.0","1.25","3.7","2011-03-13 12:55:59"
"299","4","Winforce 4000mAh (3 parallel)","","150.0","180.0","12000.0","261.0","0.8","3.7","2010-04-09 21:38:55"
"300","4","Hyperion VX-G3 2200/35C","hyperion","77.0","143.0","2200.0","65.0","2.4","3.7","2009-12-07 15:50:46"
"302","4","Zippy-H 2200 20C","iCharger 106B+ by BlueAngel","44.0","66.0","2200.0","63.0","10.0","3.7","2010-04-03 01:41:50"
"303","4","Rhino 2350 25C","iCharger 106B+ by BlueAngel","58.8","87.0","2350.0","67.0","6.0","3.7","2009-12-16 09:11:42"
"304","4","Rhino 2150 20C","iCharger 106B+ by BlueAngel","43.0","64.5","2150.0","60.0","9.0","3.7","2009-12-16 09:11:48"
"305","4","HXT 620 15C","iCharger 106B+ by BlueAngel","9.3","12.4","620.0","17.0","41.0","3.7","2009-12-16 09:11:54"
"306","4","Rhino 610 20C","iCharger 106B+ by BlueAngel","12.2","18.3","610.0","17.0","26.0","3.7","2009-12-16 09:11:58"
"307","4","Graupner V-Maxx 4400 35C","Graupner","100.0","120.0","4400.0","125.0","4.0","3.7","2010-01-09 14:32:27"
"308","4","SLS-X-Treme 5000-35C (2P)","","300.0","350.0","10000.0","284.0","1.5","3.7","2010-01-15 23:30:29"
"309","4","SLS-X-Treme 5000-35C (3P)","","450.0","525.0","15000.0","426.0","1.0","3.7","2010-01-15 23:31:09"
"310","4","Turnigy 3000mAh 20C","http://www.hobbycity.com/hobbycity/store/uh_viewItem.asp?idproduct=9264","60.0","90.0","3000.0","84.25","10.0","3.7","2010-02-06 10:02:24"
"311","4","Turnigy 2200 35C","iCharger 106B+ by BlueAngel","77.0","99.0","2200.0","66.0","3.0","3.7","2010-03-30 16:23:52"
"312","4","XCell 1800 (30C) 2P","","72.0","108.0","3600.0","96.0","4.0","3.7","2010-03-27 00:20:48"
"313","4","Zippy H5800-30/40C","","174.0","232.0","5800.0","140.0","3.333","3.7","2010-04-25 10:12:27"
"314","4","Turnigy 1600mah 20-30C","test","32.0","48.0","1600.0","56.0","5.7","3.7","2010-05-15 10:03:37"
"315","4","ZIPPY Flightmax 2650 40C","www.unitedhobbies.com","106.0","132.5","2650.0","80.0","6.0","3.7","2011-03-13 12:52:29"
"316","4","ZIPPY Flightmax 4000 20C ","hobbycity","80.0","120.0","4000.0","100.0","6.0","3.7","2011-03-13 12:42:44"
"317","4","SLS-ECO 2650-25/50C","www.elektromodellflug.de","66.25","132.5","2650.0","76.6","7.3","3.7","2010-08-01 12:22:22"
"318","4","SLS-ECO 2650-30/60C","www.elektromodellflug.de","79.5","159.0","2650.0","81.0","6.1","3.7","2010-08-01 12:22:10"
"319","4","Turnigy 2200mAh 20C-30C","Chucky1978","44.0","66.0","2200.0","192.0","14.0","3.7","2010-07-07 16:57:34"
"320","4","Turnigy 1800 20C-30C","Chucky1978","36.0","54.0","1800.0","158.0","12.0","3.7","2010-07-07 16:59:50"
"321","4","Avionics 1800mAh 30C","Chucky1978","54.0","54.0","1800.0","163.0","11.0","3.7","2010-07-07 17:04:00"
"322","4","ProSelect Master Edition 2650-25/50C 4C","lipoly.de","66.25","132.5","2650.0","219.0","4.0","3.7","2011-03-13 12:56:26"
"323","4","ProSelect Master Edition 5000-25/50C","lipoly.de","125.0","250.0","5000.0","125.0","4.0","3.7","2011-03-13 12:56:55"
"324","4","Turnigy 3600mAh 20C","http://www.hobbycity.com/hobbycity/store/uh_viewItem.asp?idproduct=9466","72.0","108.0","3600.0","100.0","10.0","3.7","2010-08-02 22:29:30"
"325","4","Turnigy Nano-Tech 2200mAH 25C","","55.0","110.0","2200.0","187.0","1.5","3.6","2010-09-12 18:36:12"
"326","4","Turnigy 1000mAH 25C LiPo","http://www.hobbycity.com/hobbycity/store/uh_viewItem.asp?idProduct=9164","25.0","30.0","1000.0","31.3","6.1","3.7","2010-08-24 10:47:46"
"327","4","Turnigy 2200mAh 20C","Chucky1978","44.0","66.0","2200.0","63.88","12.0","3.7","2010-07-07 20:35:16"
"328","4","Turnigy 1800mAh 20C","Chucky1978","36.0","54.0","1800.0","52.79","10.0","3.7","2010-07-07 20:36:36"
"329","4","Turnigy 4000mAh 20C","http://www.hobbycity.com/hobbycity/store/uh_viewItem.asp?idproduct=9264","4000.0","80.0","120.0","114.0","6.0","3.7","2010-09-11 07:28:12"
"330","4","Kypom K6 1300mAh 35-70C","http://www.kypom.com/product_detail.asp?id=780","45.5","91.0","1300.0","113.0","8.0","3.7","2010-09-17 13:01:51"
"331","4","Fair P-FePO 4300","Sorg","107.5","215.0","4300.0","133.0","3.6","3.3","2010-08-09 22:47:04"
"332","4","Fair LiFePo 2500","Hersteller","75.0","150.0","2500.0","80.0","7.8","3.3","2010-08-26 22:41:21"
"333","4","Hacker LiFePo 3100","","93.0","155.0","3100.0","407.0","5.0","3.3","2010-08-26 22:41:41"
"334","4","FlightPower EVO25 - 4350mAh","","109.0","217.0","4350.0","116.5","5.0","3.7","2010-09-13 22:48:42"
"335","4","SLS EP 500mAh (25C/50C)","","12.5","25.0","500.0","14.0","30.0","3.7","2010-09-28 21:33:49"
"336","4","Li-BATT FX 2600 35C","elektromodellflug.de","90.0","130.0","2600.0","70.0","5.5","3.7","2010-10-04 10:27:09"
"337","4","Li-BATT FX 3200 35C","elektromodellflug.de","112.0","160.0","3200.0","95.0","4.7","3.7","2010-10-04 10:29:56"
"338","4","SLS-APL 1800 45C","www.elektromodellflug.de","81.0","162.0","1800.0","55.0","6.6","3.7","2010-10-04 10:35:49"
"339","4","SLS-APL 2200 45C","www.elektromodellflug.de","99.0","198.0","2200.0","66.0","6.3","3.7","2010-10-04 10:38:24"
"340","4","SLS-APL 2650 45C","www.elektromodellflug.de","119.0","238.0","2650.0","81.0","4.8","3.7","2010-10-04 10:42:05"
"341","4","Q³ orange 2200mAh 35/60C","www.elektromodellflug.de","77.0","132.0","2200.0","62.6","6.8","3.7","2010-10-05 11:31:33"
"342","4","SLS-APL 4000 45C","www.elektromodellflug.de","180.0","360.0","4000.0","115.85","3.7","3.7","2010-10-04 10:55:19"
"343","4","SLS-APL 5000 45C","www.elektromodellflug.de","225.0","450.0","5000.0","142.2","2.8","3.7","2010-10-04 10:57:58"
"344","4","Vapor ZX40 2200","http://www.elektromodellflug.de/akku-test/vapor-40c.htm","77.0","116.0","2200.0","62.0","6.8","3.7","2010-10-04 11:11:10"
"345","4","Vapor ZX40 2600","http://www.elektromodellflug.de/akku-test/vapor-40c.htm","104.0","156.0","2600.0","67.6","5.4","3.7","2010-10-04 11:17:30"
"346","4","Vapor miniZX 150mAh (Mini XH)","http://www.elektromodellflug.de/akku-test/vapor-40c.htm","2.3","2.3","150.0","4.5","418.0","3.7","2010-10-04 11:17:17"
"347","4","XCell LiPo Plus 1100 35C","www.elektromodellflug.de","26.5","38.5","1100.0","32.8","16.0","3.7","2010-10-04 11:26:14"
"348","4","XCell LiPo Plus 1800 35C","www.elektromodellflug.de","54.0","63.0","1800.0","53.6","9.8","3.7","2010-10-04 11:27:51"
"349","4","XCell LiPo Plus 2200 35C","www.elektromodellflug.de","66.0","77.0","2200.0","62.6","6.8","3.7","2010-10-04 11:29:52"
"350","4","XCell LiPo Plus 2600 35C","www.elektromodellflug.de","78.0","91.0","2600.0","98.8","6.0","3.7","2010-10-04 11:31:04"
"351","4","XCell LiPo Plus 3300 35C","www.elektromodellflug.de","99.0","115.0","3300.0","127.6","4.7","3.7","2010-10-04 11:32:16"
"352","4","SLS-APL 3000 45C 2p","www.elektromodellflug.de","270.0","540.0","6000.0","181.6","2.15","3.7","2010-10-05 11:00:56"
"353","4","Q³ orange 2600mAh 35/60C","www.elektromodellflug.de","91.0","156.0","2600.0","66.9","6.0","3.7","2010-10-05 11:34:59"
"354","4","Q³ orange 3200mAh 35/60C","www.elektromodellflug.de","112.0","192.0","3200.0","94.4","4.9","3.7","2010-10-05 11:39:06"
"355","4","Q³ orange 3700mAh 35/60C","www.elektromodellflug.de","129.5","222.0","3700.0","111.4","3.9","3.7","2010-10-05 11:42:46"
"356","4","SLS-EP 3300-30/60C","www.elektromodelllfug.de","99.0","198.0","3300.0","97.1","4.8","3.7","2010-10-05 12:02:07"
"357","4","SLS-EP 2200-25/50C","www.elektromodelllfug.de","55.0","110.0","2200.0","63.6","9.6","3.7","2010-10-05 11:55:50"
"358","4","SLS-EP 3300-25/50C","www.elektromodelllfug.de","82.5","165.0","3300.0","89.3","5.7","3.7","2010-10-05 11:59:44"
"359","4","SLS-EP 3700-25/50C","www.elektromodelllfug.de","92.5","185.0","3700.0","100.5","4.7","3.7","2010-10-05 12:05:16"
"360","4","SLS-EP 3700-30/60C","www.elektromodelllfug.de","111.0","222.0","3700.0","105.0","4.2","3.7","2010-10-05 12:07:32"
"361","4","SLS-EP 4000-25/50C","www.elektromodelllfug.de","100.0","200.0","4000.0","108.8","4.5","3.7","2010-10-05 12:09:49"
"362","4","SLS-EP 4000-30/60C","www.elektromodelllfug.de","120.0","240.0","4000.0","118.9","4.1","3.7","2010-10-05 12:12:18"
"363","4","SLS-EP 5000-30/60C","www.elektromodelllfug.de","150.0","300.0","5000.0","137.6","3.7","3.7","2010-10-05 12:14:49"
"364","4","SLS-EP 5000-25/50C","www.elektromodelllfug.de","125.0","250.0","5000.0","140.5","4.0","3.7","2010-10-05 12:16:43"
"365","4","MyLiPo 600mAh 25/50C","","15.0","30.0","600.0","17.1","40.0","3.7","2010-10-07 00:40:15"
"366","4","Turnigy nano-tech 1300mah 2S 25~50C Lipo Pack","http://www.hobbycity.com/hobbyking/store/uh_viewItem.asp?idProduct=11902","26.0","65.0","1300.0","43.0","1.2","3.7","2010-10-17 09:01:54"
"367","4","SLS-APL 1800/45C","www.elektromodellflug.de","81.0","81.0","1800.0","55.0","6.6","3.7","2010-11-08 11:59:35"
"368","4","SLS-APL 2200/45C","www.elektromodellflug.de","99.0","99.0","2200.0","65.0","6.3","3.7","2010-11-08 12:02:05"
"369","4","SLS-APL 2650/45C","www.elektromodellflug.de","119.0","119.0","2650.0","75.0","4.8","3.7","2010-11-08 12:03:43"
"371","4","SLS-APL 4000/45C","www.elektromodelllfug.de","180.0","180.0","4000.0","118.0","3.7","3.7","2010-11-08 12:06:19"
"372","4","SLS-APL 5000/45C","www.elektromodelllfug.de","225.0","225.0","5000.0","143.0","2.8","3.7","2010-11-08 12:07:18"
"373","4","SLS-APL 3000 45C","www.elektromodellflug.de","135.0","270.0","3000.0","90.8","4.2","3.7","2010-10-17 01:04:24"
"374","4","Turnigy 5000mAh 20C","http://www.hobbycity.com/hobbycity/store/uh_viewItem.asp?idProduct=9177","100.0","150.0","5000.0","134.0","3.0","3.7","2010-10-29 00:05:25"
"375","4","FlightPower EVO 30","Andreo","60.0","120.0","2000.0","58.0","5.0","3.7","2011-01-08 18:21:01"
"376","4","Turnigy nano-tech 850mah 3S 25/40C","http://www.hobbyking.com/hobbyking/store/uh_viewItem.asp?idproduct=11899","21.25","34.0","850.0","69.0","1.2","3.7","2011-01-08 18:27:32"
"377","4","Robbe Roxxi 8000","Schätzung Reinholz","200.0","400.0","8000.0","195.0","2.0","3.7","2011-03-22 12:57:30"
"378","4","Li-BATT 2S-1500","Luca","12.0","15.0","1500.0","78.0","30.0","3.7","2011-01-12 23:34:02"
"379","4","Zippy 800 3s","Luca","16.0","20.0","800.0","25.0","30.0","3.7","2011-01-12 23:33:30"
"380","4","Turnigy nano-tech 850mah 3S 25~40C","http://www.hobbyking.com/hobbyking/store/uh_viewItem.asp?idProduct=11899","21.0","34.0","850.0","23.0","1.2","3.7","2011-04-04 13:59:22"
"381","4","Turnigy 4000mAh 20-30C","http://www.hobbycity.com/hobbycity/store/uh_viewItem.asp?idproduct=9264","80.0","120.0","4000.0","114.0","6.0","3.7","2011-08-15 08:45:51"
"382","4","Turnigy nano-tech 4000mAh 3S 25/50C","http://www.hobbyking.com/hobbyking/store/__11927__Turnigy_nano_tech_4000mah_3S_25_50C_Lipo_Pack.html","100.0","200.0","4000.0","111.0","1.2","3.7","2011-08-15 08:51:40"
"383","4","Turnigy 4000mAh 30-40C","http://www.hobbyking.com/hobbycity/store/__14314__Turnigy_4000mAh_4S_30C_Lipo_Pack_DE_Warehouse_.html","120.0","160.0","4000.0","452.0","6.0","3.7","2011-11-13 22:43:51"
"384","4","Venom 4000mah 20c","Manufacturer","80.0","120.0","4000.0","105.0","0.001","3.7","2012-06-09 13:50:55"
"385","4","Venom 5000mah 20c ","oem","100.0","200.0","5000.0","149.33","0.0","3.7","2012-06-09 13:51:03"
"386","4","Venom 5400mah 20c","oem","108.0","216.0","5400.0","149.66","0.0","3.7","2012-06-09 13:51:31"
"387","4","Venom 3000mah 20c","oem","62.0","93.0","3200.0","85.02","0.0","3.7","2012-06-09 13:50:47"
"388","4","Venom 5000mah 25c  ","Venom ","125.0","175.0","5000.0","135.37","0.0","3.7","2012-06-09 13:51:10"
"389","4","A123 ANR26650M1-B","Datenblatt A123 Systems","70.0","120.0","2500.0","76.0","6.0","3.3","2012-04-22 17:30:09"
"390","4","Dualsky XPower 300-2S G5","Adi","13.0","18.0","300.0","11.5","0.0","3.7","2012-05-27 16:42:27"
"391","4","Gens-ace 3300mAh 25c ","Hersteller / gemessen","82.0","115.0","3300.0","92.0","9.0","3.7","2012-08-13 17:06:23"
"392","4","ProSelect Master Edition 4400-25/50C 2C","lf-technik.de","110.0","220.0","4400.0","82.0","4.0","3.7","2012-12-02 18:35:49"
"393","4","Venom 4000mah 3s 20c","Manufacturer","80.0","120.0","4000.0","105.0","0.001","3.7","2011-07-19 08:57:27"
"394","4","Venom 5000mah 3s 20c ","oem","100.0","200.0","5000.0","149.33","0.0","3.7","2011-07-19 09:00:18"
"395","4","Venom 5400mah 3s 20","oem","108.0","216.0","5400.0","149.66","0.0","3.7","2011-07-19 08:54:59"
"396","4","Venom 3200mah 3s20c","oem","64.0","96.0","3200.0","85.05","0.0","3.7","2012-10-07 12:03:04"
"397","4","Venom 5000mah 5s 25c ","Venom ","125.0","175.0","5000.0","133.24","0.0","3.7","2012-05-16 14:59:01"
"398","4","Venom 5000mah 4s 25c  ","Venom ","125.0","175.0","5000.0","135.37","0.0","3.7","2012-05-16 14:59:43"
"399","4","Venom 2000mAh 20C 2S 7.4V ","Venom ","40.0","60.0","2000.0","55.0","0.0","3.7","2012-06-02 12:41:24"
"400","4","Venom 3200mah 4s 30c ","Venom ","96.0","160.0","3200.0","92.12","0.0","3.7","2012-06-02 14:11:23"
"401","4","Venom 3600mah 4s 25c ","Venom ","90.0","126.0","3600.0","96.4","0.0","3.7","2012-06-02 14:12:18"
"402","4","Venom 2100 3s 20c  ","Venom ","42.0","63.0","2100.0","58.6","0.0","3.7","2013-01-14 22:50:19"
"403","4","Venom 2000mAh 20C 2S  ","Venom  ","40.0","60.0","2000.0","55.0","0.0","3.7","2013-01-22 14:14:35"
"404","4","Venom 2100mah 3s 20c ","Venom  ","42.0","63.0","2100.0","58.6","0.0","3.7","2013-01-22 14:15:49"
"405","4","Turnigy nano-tech 460 mAh  25-40C","","11.5","18.4","460.0","16.5","0.0","3.7","2013-06-27 21:46:55"
"406","4","Turnigy 800mAh 2S 40C","http://www.hobbyking.com/hobbyking/store/uh_viewItem.asp?idProduct=36048","32.0","40.0","800.0","64.0","0.0","3.7","2014-04-20 11:35:22"
"407","4","ZIPPY Compact 1000mAh 3S 25C","http://www.hobbyking.com/hobbyking/store/uh_viewItem.asp?idProduct=36064","25.0","35.0","1000.0","85.0","0.0","3.7","2014-04-20 11:48:20"
"408","4","ZIPPY Flightmax 5000mah 4S1P 20C","","100.0","100.0","5000.0","469.0","0.0","3.7","2014-06-17 11:11:14"
"409","4","Zippy compact 2200mAh 25C","","55.0","77.0","2200.0","210.0","0.0","3.7","2014-11-02 08:16:36"
"410","4","zippy compact 5000mAh 6S 25C","","125.0","175.0","5000.0","703.0","0.0","3.7","2014-11-02 08:16:49"
"411","4","Turnigy 5000mAh 40C","http://www.hobbyking.com/hobbycity/store/Turnigy_5000mAh_4S_40C_Lipo_Pack_DE_Warehouse_.html","200.0","250.0","5000.0","144.5","5.0","3.7","2015-01-13 22:59:39"
"412","5","Test-LiPo 1mOhm","","100.0","200.0","5000.0","100.0","1.0","3.85","2019-10-16 10:13:09"
